customer_id,gender,region,age,product_name,category,unit_price,quantity,total_price,shipping_fee,shipping_status,order_date,year,month,month_name,year_month,quarter,age_group,estimated_cost,profit,profit_margin
CUST0268,Male,North,49.0,Monitor,Electronics,300.0,5,1500,13.31,Returned,2023-12-08,2023,12,Dec,2023-12,2023Q4,45-54,1131.8632833633287,354.8267166366713,23.655114442444752
CUST0046,Male,West,22.0,Headphones,Accessories,100.0,2,200,6.93,In Transit,2023-04-09,2023,4,Apr,2023-04,2023Q2,<25,131.3578405569538,61.71215944304621,30.856079721523106
CUST0169,Female,South,54.0,Monitor,Electronics,300.0,1,300,11.31,Returned,2023-08-28,2023,8,Aug,2023-08,2023Q3,45-54,185.10703588233082,103.58296411766918,34.527654705889724
CUST0002,Male,North,23.0,Headphones,Accessories,100.0,5,500,12.22,Delivered,2023-01-18,2023,1,Jan,2023-01,2023Q1,<25,314.456325720907,173.323674279093,34.6647348558186
CUST0173,Female,South,49.0,Laptop,Electronics,1500.0,3,4500,5.4,Delivered,2023-01-19,2023,1,Jan,2023-01,2023Q1,45-54,3154.632157523361,1339.967842476639,29.77706316614753
CUST0147,Male,North,64.0,Smartwatch,Wearables,200.0,2,400,11.26,In Transit,2023-01-11,2023,1,Jan,2023-01,2023Q1,55+,220.5740911617073,168.16590883829272,42.04147720957318
CUST0262,Male,East,27.0,Smartwatch,Wearables,200.0,1,200,18.38,In Transit,2023-10-23,2023,10,Oct,2023-10,2023Q4,25-34,145.82334670257367,35.79665329742633,17.898326648713166
CUST0159,Female,South,18.0,Keyboard,Accessories,50.0,2,100,15.08,Returned,2023-06-15,2023,6,Jun,2023-06,2023Q2,<25,56.73148104188218,28.188518958117818,28.188518958117818
CUST0046,Female,East,22.0,Mouse,Accessories,30.0,1,30,8.22,Returned,2023-02-25,2023,2,Feb,2023-02,2023Q1,<25,20.638568160776913,1.1414318392230864,3.804772797410288
CUST0023,Male,West,29.0,Headphones,Accessories,100.0,3,300,10.7,Delivered,2023-04-23,2023,4,Apr,2023-04,2023Q2,25-34,176.0797820308647,113.2202179691353,37.74007265637844
CUST0201,Female,East,49.0,Headphones,Accessories,100.0,2,200,9.8,Returned,2023-06-01,2023,6,Jun,2023-06,2023Q2,45-54,144.25107621057614,45.94892378942386,22.97446189471193
CUST0283,Female,West,67.0,Mouse,Accessories,30.0,3,90,5.65,In Transit,2023-09-13,2023,9,Sep,2023-09,2023Q3,55+,62.87526326798111,21.47473673201889,23.860818591132098
CUST0199,Female,West,41.0,Keyboard,Accessories,50.0,5,250,7.13,Delivered,2023-02-17,2023,2,Feb,2023-02,2023Q1,35-44,163.13542466535125,79.73457533464875,31.893830133859502
CUST0039,Male,South,60.0,Keyboard,Accessories,50.0,4,200,10.91,Returned,2023-12-10,2023,12,Dec,2023-12,2023Q4,55+,125.63409593772352,63.45590406227649,31.727952031138244
CUST0276,Male,West,66.0,Mouse,Accessories,30.0,1,30,11.36,In Transit,2023-06-29,2023,6,Jun,2023-06,2023Q2,55+,18.749939398037647,-0.10993939803764619,-0.3664646601254873
CUST0143,Female,Unknown,36.0,Smartwatch,Wearables,200.0,3,600,7.89,Delivered,2023-07-14,2023,7,Jul,2023-07,2023Q3,35-44,444.8392444208623,147.2707555791377,24.545125929856283
CUST0139,Male,North,57.0,Laptop,Electronics,1500.0,4,6000,10.92,In Transit,2023-05-13,2023,5,May,2023-05,2023Q2,55+,3983.137825666089,2005.9421743339108,33.43236957223185
CUST0210,Male,South,30.0,Smartphone,Electronics,800.0,2,1600,11.44,Returned,2023-06-09,2023,6,Jun,2023-06,2023Q2,25-34,1171.7422183997758,416.81778160022424,26.05111135001402
CUST0293,Female,East,32.0,Smartwatch,Wearables,200.0,5,1000,7.16,In Transit,2023-06-21,2023,6,Jun,2023-06,2023Q2,25-34,645.2628386436626,347.5771613563374,34.757716135633736
CUST0049,Female,West,59.0,Monitor,Electronics,300.0,4,1200,17.37,In Transit,2023-11-26,2023,11,Nov,2023-11,2023Q4,55+,817.9395668477558,364.69043315224417,30.39086942935368
CUST0283,Female,East,67.0,Smartphone,Electronics,800.0,5,4000,12.17,Delivered,2023-11-08,2023,11,Nov,2023-11,2023Q4,55+,2402.4794777849643,1585.3505222150357,39.633763055375894
CUST0196,Female,South,37.0,Mouse,Accessories,30.0,3,90,19.41,Returned,2023-12-27,2023,12,Dec,2023-12,2023Q4,35-44,67.25780542370958,3.3321945762904157,3.702438418100462
CUST0050,Male,North,49.0,Mouse,Accessories,30.0,3,90,6.97,Returned,2023-06-06,2023,6,Jun,2023-06,2023Q2,45-54,68.70742233400513,14.32257766599487,15.913975184438744
CUST0007,Female,East,52.0,Headphones,Accessories,100.0,2,200,12.0,In Transit,2023-10-28,2023,10,Oct,2023-10,2023Q4,45-54,149.2360041798234,38.7639958201766,19.3819979100883
CUST0242,Male,North,58.0,Smartphone,Electronics,800.0,4,3200,18.11,Unknown,2023-12-30,2023,12,Dec,2023-12,2023Q4,55+,2031.5652148383278,1150.3247851616723,35.94764953630226
CUST0042,Female,South,57.0,Keyboard,Accessories,50.0,1,50,9.6,Delivered,2023-12-04,2023,12,Dec,2023-12,2023Q4,55+,37.387513579645,3.012486420354998,6.024972840709996
CUST0264,Male,East,59.0,Smartphone,Electronics,1658.4323266595477,2,1600,11.59,In Transit,2023-02-01,2023,2,Feb,2023-02,2023Q1,55+,1079.0717879374074,509.3382120625926,31.83363825391204
CUST0053,Female,North,25.0,Smartwatch,Wearables,200.0,1,200,14.9,Delivered,2023-08-14,2023,8,Aug,2023-08,2023Q3,<25,119.84640433817664,65.25359566182335,32.62679783091168
CUST0154,Female,East,31.0,Smartphone,Electronics,800.0,1,800,19.22,In Transit,2023-12-07,2023,12,Dec,2023-12,2023Q4,25-34,578.4420613117445,202.3379386882555,25.292242336031933
CUST0190,Male,North,28.0,Keyboard,Accessories,50.0,4,200,15.31,Delivered,2023-06-28,2023,6,Jun,2023-06,2023Q2,25-34,113.81829471990457,70.87170528009543,35.43585264004771
CUST0038,Female,East,57.0,Monitor,Electronics,300.0,2,600,12.38,Returned,2023-11-17,2023,11,Nov,2023-11,2023Q4,55+,374.7538021380135,212.8661978619865,35.477699643664415
CUST0288,Female,South,49.0,Laptop,Electronics,1500.0,4,6000,12.91,Delivered,2023-01-25,2023,1,Jan,2023-01,2023Q1,45-54,3404.119875901993,2582.970124098007,43.049502068300114
CUST0124,Female,South,53.0,Monitor,Electronics,300.0,2,600,18.38,In Transit,2023-09-05,2023,9,Sep,2023-09,2023Q3,45-54,423.2654578261929,158.3545421738071,26.392423695634516
CUST0298,Female,South,58.0,Headphones,Accessories,100.0,5,500,7.41,Delivered,2023-09-17,2023,9,Sep,2023-09,2023Q3,55+,361.3310972372826,131.25890276271738,26.251780552543476
CUST0211,Female,South,35.0,Mouse,Accessories,30.0,3,90,11.42,Delivered,2023-12-25,2023,12,Dec,2023-12,2023Q4,25-34,58.68574060836668,19.89425939163332,22.104732657370356
CUST0060,Male,North,41.0,Laptop,Electronics,1500.0,4,6000,7.13,Delivered,2023-01-14,2023,1,Jan,2023-01,2023Q1,35-44,4751.970931083788,1240.899068916212,20.68165114860353
CUST0284,Female,West,64.0,Monitor,Electronics,300.0,1,300,6.55,Returned,2023-08-01,2023,8,Aug,2023-08,2023Q3,55+,201.96753940347617,91.48246059652384,30.49415353217461
CUST0282,Male,North,49.0,Smartphone,Electronics,800.0,2,1600,9.72,Delivered,2023-02-12,2023,2,Feb,2023-02,2023Q1,45-54,1127.9139935717983,462.3660064282017,28.897875401762608
CUST0205,Female,South,43.0,Monitor,Electronics,300.0,2,600,18.27,In Transit,2023-05-18,2023,5,May,2023-05,2023Q2,35-44,380.9003385015571,200.8296614984429,33.471610249740486
CUST0222,Female,Unknown,61.0,Smartphone,Electronics,800.0,2,1600,6.01,Returned,2023-10-03,2023,10,Oct,2023-10,2023Q4,55+,883.4614419365743,710.5285580634257,44.40803487896411
CUST0299,Male,East,58.0,Keyboard,Accessories,50.0,2,100,9.57,Returned,2023-08-30,2023,8,Aug,2023-08,2023Q3,55+,55.68360543251596,34.74639456748404,34.74639456748404
CUST0064,Male,West,61.0,Monitor,Electronics,300.0,1,300,13.82,Returned,2023-09-15,2023,9,Sep,2023-09,2023Q3,55+,223.74086898004728,62.43913101995272,20.813043673317573
CUST0073,Male,East,19.0,Keyboard,Accessories,50.0,4,200,5.32,Delivered,2023-02-14,2023,2,Feb,2023-02,2023Q1,<25,152.1858973984511,42.49410260154891,21.247051300774455
CUST0154,Male,North,31.0,Keyboard,Accessories,50.0,3,150,7.46,Delivered,2023-02-27,2023,2,Feb,2023-02,2023Q1,25-34,83.30961383564228,59.23038616435772,39.48692410957182
CUST0081,Male,North,38.0,Monitor,Electronics,300.0,1,300,17.22,Returned,2023-08-13,2023,8,Aug,2023-08,2023Q3,35-44,183.37095661069375,99.40904338930625,33.136347796435416
CUST0247,Male,East,44.0,Headphones,Accessories,100.0,2,200,8.15,In Transit,2023-05-09,2023,5,May,2023-05,2023Q2,35-44,111.0990869870654,80.75091301293459,40.375456506467295
CUST0130,Male,East,68.0,Monitor,Electronics,300.0,2,600,9.56,Unknown,2023-12-23,2023,12,Dec,2023-12,2023Q4,55+,365.4408451170217,224.9991548829783,37.49985914716305
CUST0178,Male,West,44.0,Smartwatch,Wearables,200.0,3,600,18.09,In Transit,2023-10-28,2023,10,Oct,2023-10,2023Q4,35-44,349.7032825775065,232.20671742249348,38.701119570415585
CUST0131,Female,West,67.0,Laptop,Electronics,1500.0,4,6000,7.01,Delivered,2023-09-01,2023,9,Sep,2023-09,2023Q3,55+,3444.1161764373855,2548.8738235626142,42.48123039271024
CUST0070,Male,West,23.0,Monitor,Electronics,300.0,3,900,12.58,Returned,2023-04-16,2023,4,Apr,2023-04,2023Q2,<25,554.2888353585071,333.13116464149294,37.01457384905477
CUST0122,Male,West,68.0,Headphones,Accessories,100.0,2,200,13.49,In Transit,2023-12-13,2023,12,Dec,2023-12,2023Q4,55+,117.4114074211246,69.09859257887541,34.549296289437706
CUST0168,Female,East,42.0,Monitor,Electronics,300.0,4,1200,18.15,In Transit,2023-03-27,2023,3,Mar,2023-03,2023Q1,35-44,773.193574512731,408.6564254872691,34.05470212393909
CUST0176,Male,South,51.0,Laptop,Electronics,1500.0,2,3000,7.43,Delivered,2023-11-16,2023,11,Nov,2023-11,2023Q4,45-54,2204.6658954889413,787.9041045110588,26.26347015036863
CUST0064,Female,West,61.0,Laptop,Electronics,1500.0,2,3000,5.42,Returned,2023-06-14,2023,6,Jun,2023-06,2023Q2,55+,1799.71420841303,1194.8657915869699,39.82885971956566
CUST0125,Female,South,46.0,Smartphone,Electronics,800.0,5,4000,10.62,Returned,2023-01-26,2023,1,Jan,2023-01,2023Q1,45-54,2690.5513084781946,1298.8286915218055,32.47071728804514
CUST0165,Female,West,49.0,Keyboard,Accessories,50.0,4,200,19.72,Unknown,2023-12-25,2023,12,Dec,2023-12,2023Q4,45-54,153.62564737594425,26.654352624055747,13.327176312027875
CUST0057,Male,North,62.0,Keyboard,Accessories,50.0,4,200,12.79,Delivered,2023-09-29,2023,9,Sep,2023-09,2023Q3,55+,123.79883474345338,63.41116525654662,31.70558262827331
CUST0207,Male,South,54.0,Laptop,Electronics,1500.0,1,1500,5.16,Delivered,2023-03-14,2023,3,Mar,2023-03,2023Q1,45-54,1070.3180277190802,424.5219722809198,28.301464818727982
CUST0167,Female,North,67.0,Headphones,Accessories,100.0,2,200,11.65,Returned,2023-12-14,2023,12,Dec,2023-12,2023Q4,55+,143.21690717673502,45.13309282326498,22.56654641163249
CUST0006,Male,South,52.0,Laptop,Electronics,1500.0,5,7500,19.69,In Transit,2023-09-17,2023,9,Sep,2023-09,2023Q3,45-54,5411.106241051066,2069.203758948934,27.589383452652456
CUST0041,Male,East,64.0,Smartphone,Electronics,800.0,4,3200,17.27,In Transit,2023-08-08,2023,8,Aug,2023-08,2023Q3,55+,1832.2175893590568,1350.5124106409432,42.203512832529476
CUST0112,Male,North,33.0,Monitor,Electronics,300.0,4,1200,14.88,Delivered,2023-04-12,2023,4,Apr,2023-04,2023Q2,25-34,791.799566719894,393.32043328010604,32.77670277334217
CUST0244,Female,West,24.0,Headphones,Accessories,100.0,3,300,8.49,In Transit,2023-02-21,2023,2,Feb,2023-02,2023Q1,<25,229.24537926028032,62.26462073971968,20.754873579906562
CUST0218,Male,East,36.0,Headphones,Accessories,100.0,2,200,7.71,Returned,2023-11-03,2023,11,Nov,2023-11,2023Q4,35-44,112.84698333414968,79.44301666585032,39.72150833292516
CUST0073,Male,North,19.0,Monitor,Electronics,300.0,5,1500,13.7,In Transit,2023-01-16,2023,1,Jan,2023-01,2023Q1,<25,1039.0440662660405,447.25593373395947,29.817062248930633
CUST0083,Male,East,28.0,Monitor,Electronics,300.0,1,300,17.98,Returned,2024-01-03,2024,1,Jan,2024-01,2024Q1,25-34,166.95759777541608,115.06240222458392,38.35413407486131
CUST0065,Female,East,49.0,Headphones,Accessories,100.0,2,200,13.06,Returned,2023-02-05,2023,2,Feb,2023-02,2023Q1,45-54,135.79943051897723,51.140569481022766,25.570284740511383
CUST0096,Female,Unknown,61.0,Smartphone,Electronics,800.0,4,3200,11.79,In Transit,2023-02-07,2023,2,Feb,2023-02,2023Q1,55+,2362.104112544133,826.1058874558671,25.815808982995847
CUST0060,Male,South,41.0,Keyboard,Accessories,50.0,4,200,19.12,Returned,2023-04-03,2023,4,Apr,2023-04,2023Q2,35-44,134.53313206809577,46.34686793190423,23.173433965952114
CUST0045,Male,East,21.0,Mouse,Accessories,30.0,1,30,6.17,In Transit,2023-10-23,2023,10,Oct,2023-10,2023Q4,<25,20.67358486237594,3.1564151376240606,10.521383792080202
CUST0296,Female,North,50.0,Keyboard,Accessories,50.0,2,100,13.82,In Transit,2023-07-25,2023,7,Jul,2023-07,2023Q3,45-54,60.50122702650916,25.678772973490837,25.678772973490837
CUST0261,Male,West,48.0,Laptop,Electronics,1500.0,5,7500,15.95,Returned,2023-10-01,2023,10,Oct,2023-10,2023Q4,45-54,4238.380554134509,3245.669445865491,43.27559261153988
CUST0077,Male,South,50.0,Keyboard,Accessories,50.0,5,250,10.89,Delivered,2023-03-19,2023,3,Mar,2023-03,2023Q1,45-54,139.084486329529,100.025513670471,40.010205468188396
CUST0227,Female,West,54.0,Keyboard,Accessories,50.0,4,200,9.22,Returned,2023-10-05,2023,10,Oct,2023-10,2023Q4,45-54,116.48947735572142,74.29052264427858,37.14526132213929
CUST0284,Female,North,64.0,Keyboard,Accessories,50.0,3,150,17.76,In Transit,2023-04-11,2023,4,Apr,2023-04,2023Q2,55+,84.41161406534383,47.82838593465617,31.88559062310411
CUST0245,Male,North,63.0,Mouse,Accessories,30.0,1,30,13.28,Returned,2023-09-11,2023,9,Sep,2023-09,2023Q3,55+,22.047538139771078,-5.327538139771077,-17.75846046590359
CUST0133,Female,North,47.0,Smartphone,Electronics,800.0,1,800,11.29,Returned,2023-10-28,2023,10,Oct,2023-10,2023Q4,45-54,559.7653981478062,228.9446018521938,28.618075231524227
CUST0179,Male,North,45.0,Keyboard,Accessories,50.0,2,100,19.04,Delivered,2023-03-16,2023,3,Mar,2023-03,2023Q1,35-44,61.03512553916417,19.92487446083583,19.92487446083583
CUST0022,Female,North,33.0,Smartwatch,Wearables,200.0,2,400,10.07,Delivered,2023-11-21,2023,11,Nov,2023-11,2023Q4,25-34,247.86677804832075,142.06322195167925,35.51580548791981
CUST0269,Female,East,64.0,Laptop,Electronics,1500.0,5,7500,6.53,Returned,2023-12-03,2023,12,Dec,2023-12,2023Q4,55+,5697.571157532634,1795.898842467366,23.94531789956488
CUST0181,Male,East,59.0,Smartwatch,Wearables,200.0,3,600,9.82,In Transit,2023-02-08,2023,2,Feb,2023-02,2023Q1,55+,397.2566202634804,192.92337973651962,32.15389662275327
CUST0170,Female,South,40.0,Mouse,Accessories,30.0,5,150,8.64,Delivered,2023-12-22,2023,12,Dec,2023-12,2023Q4,35-44,107.66636373454267,33.69363626545733,22.462424176971552
CUST0182,Male,West,49.0,Monitor,Electronics,300.0,5,1500,7.77,In Transit,2023-10-24,2023,10,Oct,2023-10,2023Q4,45-54,1192.7863004264223,299.44369957357776,19.962913304905182
CUST0219,Male,Unknown,48.0,Mouse,Accessories,62.19121224973304,2,60,7.4,Returned,2023-08-20,2023,8,Aug,2023-08,2023Q3,45-54,41.84303995336464,10.756960046635362,17.928266744392268
CUST0037,Male,West,51.0,Keyboard,Accessories,103.65202041622172,4,200,11.41,Returned,2023-05-20,2023,5,May,2023-05,2023Q2,45-54,123.13956338981652,65.45043661018349,32.725218305091744
CUST0006,Female,West,52.0,Monitor,Electronics,300.0,3,900,5.66,Delivered,2023-02-18,2023,2,Feb,2023-02,2023Q1,45-54,510.05512705630474,384.28487294369523,42.69831921596614
CUST0125,Female,West,46.0,Mouse,Accessories,30.0,4,120,5.71,Delivered,2024-01-03,2024,1,Jan,2024-01,2024Q1,45-54,87.04346575925122,27.24653424074878,22.705445200623984
CUST0006,Male,North,52.0,Smartwatch,Wearables,200.0,1,200,13.68,Delivered,2023-08-02,2023,8,Aug,2023-08,2023Q3,45-54,141.49788074724225,44.82211925275775,22.411059626378876
CUST0091,Female,South,30.0,Mouse,Accessories,30.0,1,30,18.29,In Transit,2023-04-19,2023,4,Apr,2023-04,2023Q2,25-34,23.268007407550083,-11.558007407550082,-38.52669135850027
CUST0064,Male,North,61.0,Smartphone,Electronics,800.0,5,4000,6.31,Delivered,2023-06-29,2023,6,Jun,2023-06,2023Q2,55+,2652.528516213734,1341.1614837862662,33.52903709465666
CUST0286,Female,North,63.0,Laptop,Electronics,1500.0,1,1500,13.15,Delivered,2023-03-08,2023,3,Mar,2023-03,2023Q1,55+,847.0874707240486,639.7625292759515,42.65083528506343
CUST0288,Male,West,55.0,Headphones,Accessories,100.0,2,200,16.23,Returned,2023-07-04,2023,7,Jul,2023-07,2023Q3,45-54,157.50051865438934,26.26948134561066,13.13474067280533
CUST0019,Female,East,69.0,Keyboard,Accessories,50.0,1,50,14.53,Returned,2023-04-23,2023,4,Apr,2023-04,2023Q2,55+,36.48856655274608,-1.018566552746078,-2.037133105492156
CUST0236,Male,East,18.0,Keyboard,Accessories,50.0,2,100,11.25,Returned,2023-03-24,2023,3,Mar,2023-03,2023Q1,<25,70.9651671753339,17.784832824666097,17.784832824666097
CUST0159,Male,West,18.0,Keyboard,Accessories,50.0,5,250,11.11,Returned,2023-09-11,2023,9,Sep,2023-09,2023Q3,<25,186.50983230046938,52.38016769953062,20.95206707981225
CUST0251,Male,North,42.0,Mouse,Accessories,30.0,2,60,18.98,In Transit,2023-02-02,2023,2,Feb,2023-02,2023Q1,35-44,33.921498900319335,7.098501099680664,11.83083516613444
